"","text","title"
"1","humanity, to share its life, its change, its death, and all that makes","Dracula"
"2","They say that people who are near death die generally at the change to","Dracula"
"3","face was deathly pale, and the lines of it were hard like drawn wires;","Dracula"
"4","frighten her to death were I to expose my heart to her. Should the","Dracula"
"5","it. At the worst it can only be death; and a man's death is not a","Dracula"
"6","tunnel-like passage, through which came a deathly, sickly odour, the","Dracula"
"7","glassiness of death--and the cheeks had the warmth of life through all","Dracula"
"8","room. He might kill me, but death now seemed the happier choice of","Dracula"
"9","come tumblin' up in their death-sarks, all jouped together an' tryin' to","Dracula"
"10","waitin' for somethin' else than what we're doin'; and death be all that","Dracula"
"11","that sounds, and looks, and tastes, and smells like death. It's in the","Dracula"
"12","touching their living brethren with the clammy hands of death, and many","Dracula"
"13","he held his honourable watch and ward till death--a steadfastness as","Dracula"
"14","her death-warrant. She has not told Lucy, and made me promise secrecy;","Dracula"
"15","jesting. This is no jest, but life and death, perhaps more.' I asked","Dracula"
"16","shock to her would mean sudden death, and this, in Lucy's weak","Dracula"
"17","that even death has some antidote to its own terrors. Here, in a case","Dracula"
"18","tight around us? Was it indeed a house of death to which I had come, too","Dracula"
"19","earnest. I knew--as he knew--that it was a stand-up fight with death,","Dracula"
"20","death which the British woman of the lower classes always rigidly","Dracula"
"21","""I came to speak about the certificate of death. If we do not act","Dracula"
"22","meant--that she had realised to the full her mother's death; so we tried","Dracula"
"23","father or mother, so that the dear old man's death is a real blow to me.","Dracula"
"24","this moment the flapping of the wings of the angel of death. And he has","Dracula"
"25","of the heart, had gone to make the harshness of death as little rude as","Dracula"
"26","from the death-chamber:--","Dracula"
"27","and death was made as little repulsive as might be. The end of the","Dracula"
"28","loveliness had come back to her in death, and the hours that had passed,","Dracula"
"29","no tremble of hand or heart, do operations of life and death that make","Dracula"
"30","putting aside the terrors which she naturally had of death to go watch","Dracula"
"31","some time expected sudden death from her heart, and had put her affairs","Dracula"
"32","a little before that time we visited the death-chamber. It was so in","Dracula"
"33","I could help--that it often happened that after death faces became","Dracula"
"34","especially so when death had been preceded by any acute or prolonged","Dracula"
"35","in my heart of hearts that he suffered as much about Lucy's death as any","Dracula"
"36","kin, a lordly death-house in a lonely churchyard, away from teeming","Dracula"
"37","sent to you sad news of Miss Lucy Westenra's death. By the kindness of","Dracula"
"38","death."" He interrupted:--","Dracula"
"39","could have save her. Do you know all the mystery of life and death? Do","Dracula"
"40","fearful death? Ah no!""","Dracula"
"41","and days--before death, after death; and if my death can do her good","Dracula"
"42","to breathe the fresh air, that had no taint of death and decay; how","Dracula"
"43","chin and stained the purity of her lawn death-robe.","Dracula"
"44","the Greeks and Japanese. If ever a face meant death--if looks could","Dracula"
"45","death-beauty. But there was no love in my own heart, nothing but","Dracula"
"46","""Tell you of her death? Not for the wide world!""","Dracula"
"47","typewriter."" He grew to a positively deathly pallor as he said:--","Dracula"
"48","death and all that led to it; because in the struggle which we have","Dracula"
"49","poor Lucy's death, you will not be content, I know, to remain in the","Dracula"
"50","When the terrible story of Lucy's death, and--and all that followed, was","Dracula"
"51","death, and what followed, is enough to dry up the springs of pity in","Dracula"
"52","they had been at Lucy's death--her real death--and that I need not fear","Dracula"
"53","mere life or death. It is that we become as him; that we henceforward","Dracula"
"54","at the first appear much, when the matter is one of life and death--nay","Dracula"
"55","of more than either life or death. Yet must we be satisfied; in the","Dracula"
"56","stirring, but all to be grim and fixed as death or fate; so that a thin","Dracula"
"57","wretch to his real death."" We all sat silent awhile and all at once Mr.","Dracula"
"58","who have heard the death-watch. The poor man's breathing came in","Dracula"
"59","beds and death, this suspense grew, and grew upon me. I could almost","Dracula"
"60","and then I must go back to death--or worse! Wet my lips with brandy","Dracula"
"61","death. All chambers are alike to the doctor; and even were they not they","Dracula"
"62","connected with death, and vampires; with blood, and pain, and trouble.""","Dracula"
"63","certificate of death by misadventure in falling from bed. In case the","Dracula"
"64","""There are here some who would stand between you and death. You must not","Dracula"
"65","die; for if he is still with the quick Un-Dead, your death would make","Dracula"
"66","live, though death would seem a boon unspeakable. You must fight Death","Dracula"
"67","do not die--nay, nor think of death--till this great evil be past."" The","Dracula"
"68","poor dear grew white as death, and shock and shivered, as I have seen a","Dracula"
"69","physical death; though it would seem that memory was not all complete.","Dracula"
"70","pale as death: for a second or two her eyes were closed as if she were","Dracula"
"71","myself, though I am weary--weary to death. However, I must try to sleep;","Dracula"
"72","""I am still--oh, so still. It is like death!"" The voice faded away into","Dracula"
"73","so in time, death, which is of man's common lot and with God's sanction,","Dracula"
"74","world of thought is open to him. He that can smile at death, as we know","Dracula"
"75","death--and we fly back to first principles of hope and enjoyment. More","Dracula"
"76","did my poor Lucy's. Were death, or the fear of death, the only thing","Dracula"
"77","friends who love me. But death is not all. I cannot believe that to die","Dracula"
"78","dear, if it is to be that I must meet death at any hand, let it be at","Dracula"
"79","""But oh, my dear one,"" he pleaded, ""death is afar off from you.""","Dracula"
"80","""Nay,"" she said, holding up a warning hand. ""I am deeper in death at","Dracula"
"81","into the jaws of his death-trap? Not for the world! Not for Heaven or","Dracula"
"82","death, or more than these, and we must not flinch.","Dracula"
"83","and we are soon off. We ride to death of some one. God alone knows who,","Dracula"
"84","submit, if it were God's will. At any rate it was only death and","Dracula"
"85","now and weep, as I think of them placid each in her full sleep of death","Dracula"
"86","crumble in to its native dust, as though the death that should have come","Dracula"
"87","the cart had scattered over him. He was deathly pale, just like a waxen","Dracula"
